Year;Movie Genre;Genre Revenue
2000;Western;28031220.56
2001;Animation;14581558.13
2002;Western;49226850.23
2003;Crime;13378662.71
2004;(no genres listed);51504882.43
2005;Mystery;60276214.55
2006;Western;24783123.66
2007;Sci-Fi;5568944.18
2008;IMAX;27821925.69
2009;IMAX;55152073.39
2010;Film-Noir;909138.40
2011;War;37280275.97
2012;War;265557.43
2013;Western;47518423.11
2014;Animation;52748336.34
2015;Animation;27080770.19
2016;Western;63894436.78
2017;Musical;13981460.77
2018;Film-Noir;17197884.98
2019;Film-Noir;28209501.85
2020;Fantasy;20689152.07
